osm_type,osm_id,name
R,196240,Oʻzbekiston
R,197273,"Chattanooga, Hamilton County, East Tennessee, Tennessee, United States of America"
R,199071,"Burlington, Chittenden County, Vermont, United States of America"
N,204648,"Wellington, Wellington City, Wellington, 6011, New Zealand / Aotearoa"
R,206591,"Herndon, Fairfax County, Virginia, United States of America"
R,207359,"Los Angeles, Los Angeles County, California, United States of America"
R,214665,Қазақстан
R,218657,Slovenija
R,223167,"İzmir, Ege Bölgesi, Türkiye"
R,223474,"İstanbul, Marmara Bölgesi, Türkiye"
R,224042,"Virginia, United States of America"
R,224045,"North Carolina, United States of America"
R,224922,"Louisiana, United States of America"
R,224951,"New Jersey, United States of America"
R,225481,"Münchhausen, Landkreis Marburg-Biedenkopf, Hessen, 35117, Deutschland"
R,225482,"Wetter (Hessen), Landkreis Marburg-Biedenkopf, Hessen, 35083, Deutschland"
R,225483,"Rauschenberg, Landkreis Marburg-Biedenkopf, Hessen, 35282, Deutschland"
R,225489,"Lahntal, Landkreis Marburg-Biedenkopf, Hessen, 35094, Deutschland"
R,225490,"Cölbe, Landkreis Marburg-Biedenkopf, Hessen, Deutschland"
R,225491,"Bad Endbach, Landkreis Marburg-Biedenkopf, Hessen, 35080, Deutschland"
R,225492,"Gladenbach, Landkreis Marburg-Biedenkopf, Hessen, 35075, Deutschland"
R,225493,"Weimar (Lahn), Landkreis Marburg-Biedenkopf, Hessen, 35096, Deutschland"
