osm_combination,location_ids
R1734859-boundary:administrative,13285
R62718-boundary:administrative,"11791,11792,11793,11794,11795,11796"
R9686813-boundary:administrative,13891
R7407678-boundary:administrative,13841
N316440978-place:city,"14507,14508,14509,14510"
W309057815-landuse:residential,14501
R3706991-boundary:administrative,13682
R406091-boundary:administrative,"12775,12776,12777"
R62785-boundary:administrative,11849
R62531-boundary:administrative,"11652,11653,11654,11655,11656,11657,11658,11659,11660"
R58274-boundary:administrative,"11402,11403,11404,11405,11406,11407"
R129473-boundary:administrative,12051
W237812202-place:KIANO'S PLOT,"14331,14332"
N2510123017-place:city,14790
R2408836-boundary:administrative,13472
R225482-boundary:administrative,"12472,12473"
N917928963-place:village,14662
N298296173-place:city,14484
N395304321-place:village,14552
R454175-boundary:administrative,12852
N36701460-place:city,14159
R29831-boundary:administrative,11281
R2697338-boundary:administrative,13498
W183802439-amenity:university,14296
N2022807192-place:city,"14767,14764,14765,14766"
R50046-boundary:administrative,"11331,11330,11332,11333"
N5992178210-place:town,"14869,14870"
R1350280-boundary:administrative,13165
R9274287-place:town,13885
N252592807-place:city,"14406,14407,14408,14409,14410"
R78290-boundary:administrative,11912
N121793400-place:suburb,"14238,14239"
R3901809-boundary:administrative,13730
R396775-boundary:administrative,12747
R148606-boundary:administrative,"12086,12087"
N245773039-place:town,14395
R52411-boundary:administrative,"11362,11363"
R88553-boundary:administrative,11954
R187669-boundary:administrative,12294
R10264792-boundary:administrative,13908
N6765699485-place:city,14878
R1956782-boundary:administrative,13361
R17529-boundary:administrative,11260
N1886594378-place:city,"14757,14758,14759,14760"
N508079854-place:town,14591
R4479752-boundary:administrative,"14137,14134,14135,14136,14138"
R88531-boundary:administrative,11953
N151335482-place:city,14269
N205400065-place:village,14313
N25470100-place:city,14034
R3577685-boundary:administrative,13662
R58437-boundary:administrative,"11408,11409,11410"
R134824-boundary:administrative,12064
R1188765-boundary:postal_code,13098
N880333187-place:suburb,14896
R2168250-boundary:administrative,13416
N305705721-place:village,"14496,14497,14498"
W763124912-leisure:garden,14643
R122586-boundary:administrative,12038
N59953738-place:city,14192
R325518-boundary:administrative,12647
R73663-boundary:administrative,11904
W22662547-highway:pedestrian,14023
R3336978-boundary:administrative,13619
W146619231-leisure:park,14260
R1124272-boundary:administrative,13051
R904512-boundary:administrative,"12908,12909,12910,12911"
N279649847-place:city,"14453,14454"
N115630073-place:village,14234
R1130787-boundary:postal_code,13062
R3373762-boundary:postal_code,13644
R180678-boundary:administrative,12243
R136578-boundary:administrative,12066
R3718463-boundary:administrative,13707
W97879088-building:retail,14219
R10546821-boundary:administrative,"13920,13921,13922,13923,13925,13926,13924"
R1600804-boundary:administrative,13243
R11042445-boundary:administrative,13930
N29094634-place:town,14107
R3373299-boundary:postal_code,13643
R398021-boundary:administrative,"12753,12754,12755"
N356420273-place:town,14536
R3360778-boundary:administrative,13637
R377733-boundary:administrative,12700
R1216769-boundary:administrative,"13104,13105"
R62403-boundary:administrative,"11521,11522,11523,11524,11525,11526,11527,11528,11529,11530,11531,11532"
R418324-boundary:administrative,"12790,12791"
R1761771-boundary:administrative,13287
R940961-boundary:administrative,12937
W40887760-shop:supermarket,14170
R2408837-boundary:administrative,13473
N18886011-place:city,"13999,14000"
R87565-boundary:administrative,"11938,11939,11940,11941,11942,11943,11944,11945"
R5466662-landuse:harbour,13790
R3351320-boundary:administrative,13631
R62646-boundary:administrative,"11742,11743,11744,11745"
R303427-boundary:administrative,"12567,12568"
R47811-boundary:administrative,"11322,11323,11324"
N240083793-place:village,14350
R1124261-boundary:administrative,"13031,13032"
N240047795-place:town,14336
R5379538-boundary:administrative,13776
W219232055-building:yes,14315
R1251066-boundary:administrative,13132
R179868-boundary:administrative,"12239,12240"
W93265337-highway:pedestrian,14964
W50826939-highway:tertiary,14988
R2405335-boundary:postal_code,13468
R535828-boundary:administrative,12864
W98946110-building:university,"14225,14224"
N290039262-place:village,14468
